Exe2-1BCU,Exe3-1BCU,Exe4-1BCU,Exe1-1BCU,Exe0-1BCU,q1,q3,mean,median,mode,min,max,sstdev
646,569,577,875,567,569.00,646.00,646.80,577.00,567.00,567.00,875.00,131.69
-304.000000,-305.000000,-211.000000,-471.000000,-209.000000,-305.00,-211.00,-300.00,-304.00,-471.00,-471.00,-209.00,106.63
-297.000000,-305.000000,-211.000000,-512.000000,-211.000000,-305.00,-211.00,-307.20,-297.00,-211.00,-512.00,-211.00,123.05
-304.000000,-305.000000,-209.000000,-414.000000,-209.000000,-305.00,-209.00,-288.20,-304.00,-209.00,-414.00,-209.00,85.00
-301.000000,-305.000000,-209.000000,-413.000000,-209.000000,-305.00,-209.00,-287.40,-301.00,-209.00,-413.00,-209.00,84.50
-306.000000,-309.000000,-211.000000,-247.000000,-209.000000,-306.00,-211.00,-256.40,-247.00,-309.00,-309.00,-209.00,49.05
-296.000000,-307.000000,-209.000000,-243.000000,-209.000000,-296.00,-209.00,-252.80,-243.00,-209.00,-307.00,-209.00,46.74
-292.000000,-308.000000,-209.000000,-230.000000,-209.000000,-292.00,-209.00,-249.60,-230.00,-209.00,-308.00,-209.00,47.14
-296.000000,-376.000000,-209.000000,-227.000000,-209.000000,-296.00,-209.00,-263.40,-227.00,-209.00,-376.00,-209.00,72.43
-292.000000,-303.000000,-209.000000,-310.000000,-209.000000,-303.00,-209.00,-264.60,-292.00,-209.00,-310.00,-209.00,51.16
-296.000000,-309.000000,-209.000000,-227.000000,-209.000000,-296.00,-209.00,-250.00,-227.00,-209.00,-309.00,-209.00,48.70
-292.000000,-210.000000,-201.000000,-218.000000,-209.000000,-218.00,-209.00,-226.00,-210.00,-292.00,-292.00,-201.00,37.38
-295.000000,-213.000000,-207.000000,-227.000000,-209.000000,-227.00,-209.00,-230.20,-213.00,-295.00,-295.00,-207.00,37.06
-292.000000,-160.000000,-172.000000,-218.000000,-209.000000,-218.00,-172.00,-210.20,-209.00,-292.00,-292.00,-160.00,51.80
-294.000000,-136.000000,-162.000000,-175.000000,-140.000000,-175.00,-140.00,-181.40,-162.00,-294.00,-294.00,-136.00,64.94
-292.000000,-210.000000,-164.000000,-166.000000,-208.000000,-210.00,-166.00,-208.00,-208.00,-292.00,-292.00,-164.00,51.87
-276.000000,-211.000000,-166.000000,-169.000000,-206.000000,-211.00,-169.00,-205.60,-206.00,-276.00,-276.00,-166.00,44.42
-294.000000,-212.000000,-163.000000,-168.000000,-207.000000,-212.00,-168.00,-208.80,-207.00,-294.00,-294.00,-163.00,52.52
