Exe0-2CCU,Exe1-2CCU,Exe4-2CCU,Exe3-2CCU,Exe2-2CCU,q1,q3,mean,median,mode,min,max,sstdev
522,509,444,571,521,509.00,522.00,513.40,521.00,444.00,444.00,571.00,45.51
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-569.000000,-1002.000000,-1002.000000,-303.000000,-1002.00,-569.00,-775.60,-1002.00,-1002.00,-1002.00,-303.00,323.96
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-873.000000,-1002.00,-1002.00,-976.20,-1002.00,-1002.00,-1002.00,-873.00,57.69
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-390.000000,-1002.00,-1002.00,-879.60,-1002.00,-1002.00,-1002.00,-390.00,273.69
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-390.000000,-1002.00,-1002.00,-879.60,-1002.00,-1002.00,-1002.00,-390.00,273.69
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-423.000000,-1002.00,-1002.00,-886.20,-1002.00,-1002.00,-1002.00,-423.00,258.94
-986.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-998.80,-1002.00,-1002.00,-1002.00,-986.00,7.16
-217.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-845.00,-1002.00,-1002.00,-1002.00,-217.00,351.06
-217.000000,-1002.000000,-1002.000000,-1002.000000,-754.000000,-1002.00,-754.00,-795.40,-1002.00,-1002.00,-1002.00,-217.00,340.70
-165.000000,-1002.000000,-1002.000000,-1002.000000,-755.000000,-1002.00,-755.00,-785.20,-1002.00,-1002.00,-1002.00,-165.00,362.82
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-454.000000,-1002.00,-1002.00,-892.40,-1002.00,-1002.00,-1002.00,-454.00,245.07
-872.000000,-1002.000000,-1002.000000,-1002.000000,-452.000000,-1002.00,-872.00,-866.00,-1002.00,-1002.00,-1002.00,-452.00,238.18
-177.000000,-1002.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-451.00,-726.80,-1002.00,-1002.00,-1002.00,-177.00,389.09
-177.000000,-1002.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-451.00,-726.80,-1002.00,-1002.00,-1002.00,-177.00,389.09
-175.000000,-1002.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-451.00,-726.40,-1002.00,-1002.00,-1002.00,-175.00,389.79
-174.000000,-1002.000000,-1002.000000,-382.000000,-451.000000,-1002.00,-382.00,-602.20,-451.00,-1002.00,-1002.00,-174.00,378.94
-174.000000,-931.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-451.00,-712.00,-931.00,-1002.00,-1002.00,-174.00,378.72
-174.000000,-931.000000,-755.000000,-1002.000000,-451.000000,-931.00,-451.00,-662.60,-755.00,-1002.00,-1002.00,-174.00,346.15
-174.000000,-910.000000,-1002.000000,-957.000000,-451.000000,-957.00,-451.00,-698.80,-910.00,-1002.00,-1002.00,-174.00,367.43
-1002.000000,-910.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-910.00,-873.40,-1002.00,-1002.00,-1002.00,-451.00,239.47
-1002.000000,-910.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-910.00,-873.40,-1002.00,-1002.00,-1002.00,-451.00,239.47
-1002.000000,-910.000000,-1002.000000,-1002.000000,-451.000000,-1002.00,-910.00,-873.40,-1002.00,-1002.00,-1002.00,-451.00,239.47
-1002.000000,-910.000000,-135.000000,-1002.000000,-451.000000,-1002.00,-451.00,-700.00,-910.00,-1002.00,-1002.00,-135.00,389.79
-1002.000000,-735.000000,-133.000000,-1002.000000,-1002.000000,-1002.00,-735.00,-774.80,-1002.00,-1002.00,-1002.00,-133.00,376.95
-1002.000000,-910.000000,-212.000000,-1002.000000,-797.000000,-1002.00,-797.00,-784.60,-910.00,-1002.00,-1002.00,-212.00,331.01
-724.000000,-910.000000,-125.000000,-1002.000000,-764.000000,-910.00,-724.00,-705.00,-764.00,-1002.00,-1002.00,-125.00,342.96
-1002.000000,-910.000000,-1002.000000,-1002.000000,-831.000000,-1002.00,-910.00,-949.40,-1002.00,-1002.00,-1002.00,-831.00,77.25
-1002.000000,-910.000000,-208.000000,-565.000000,-670.000000,-910.00,-565.00,-671.00,-670.00,-1002.00,-1002.00,-208.00,313.16
-1002.000000,-910.000000,-1002.000000,-1002.000000,-415.000000,-1002.00,-910.00,-866.20,-1002.00,-1002.00,-1002.00,-415.00,255.36
-179.000000,-910.000000,-212.000000,-565.000000,-639.000000,-639.00,-212.00,-501.00,-565.00,-910.00,-910.00,-179.00,307.26
-494.000000,-674.000000,-1002.000000,-1002.000000,-579.000000,-1002.00,-579.00,-750.20,-674.00,-1002.00,-1002.00,-494.00,238.52
-492.000000,-910.000000,-1002.000000,-1002.000000,-639.000000,-1002.00,-639.00,-809.00,-910.00,-1002.00,-1002.00,-492.00,231.35
-492.000000,-910.000000,-1002.000000,-200.000000,-575.000000,-910.00,-492.00,-635.80,-575.00,-1002.00,-1002.00,-200.00,325.42
-492.000000,-910.000000,-1002.000000,-200.000000,-639.000000,-910.00,-492.00,-648.60,-639.00,-1002.00,-1002.00,-200.00,323.68
-492.000000,-910.000000,-1002.000000,-184.000000,-638.000000,-910.00,-492.00,-645.20,-638.00,-1002.00,-1002.00,-184.00,329.26
-492.000000,-910.000000,-1002.000000,-184.000000,-592.000000,-910.00,-492.00,-636.00,-592.00,-1002.00,-1002.00,-184.00,330.15
-492.000000,-910.000000,-709.000000,-184.000000,-729.000000,-729.00,-492.00,-604.80,-709.00,-910.00,-910.00,-184.00,278.04
-492.000000,-911.000000,-1002.000000,-184.000000,-797.000000,-911.00,-492.00,-677.20,-797.00,-1002.00,-1002.00,-184.00,336.18
-492.000000,-910.000000,-1002.000000,-184.000000,-773.000000,-910.00,-492.00,-672.20,-773.00,-1002.00,-1002.00,-184.00,334.02
-492.000000,-910.000000,-1002.000000,-184.000000,-797.000000,-910.00,-492.00,-677.00,-797.00,-1002.00,-1002.00,-184.00,336.00
-492.000000,-910.000000,-1002.000000,-176.000000,-863.000000,-910.00,-492.00,-688.60,-863.00,-1002.00,-1002.00,-176.00,346.07
