Exe1-8BCU,Exe0-8BCU,Exe4-8BCU,Exe2-8BCU,Exe3-8BCU,q1,q3,mean,median,mode,min,max,sstdev
195,183,153,158,205,158.00,195.00,178.80,183.00,153.00,153.00,205.00,22.72
-398.000000,-433.000000,-1002.000000,-231.000000,-1002.000000,-1002.00,-398.00,-613.20,-433.00,-1002.00,-1002.00,-231.00,363.04
-242.000000,-414.000000,-1002.000000,-648.000000,-1002.000000,-1002.00,-414.00,-661.60,-648.00,-1002.00,-1002.00,-242.00,342.53
-252.000000,-214.000000,-1002.000000,-979.000000,-978.000000,-979.00,-252.00,-685.00,-978.00,-1002.00,-1002.00,-214.00,412.95
-244.000000,-214.000000,-1002.000000,-276.000000,-977.000000,-977.00,-244.00,-542.60,-276.00,-1002.00,-1002.00,-214.00,408.65
-159.000000,-153.000000,-1002.000000,-253.000000,-972.000000,-972.00,-159.00,-507.80,-253.00,-1002.00,-1002.00,-153.00,439.37
-197.000000,-208.000000,-1002.000000,-254.000000,-727.000000,-727.00,-208.00,-477.60,-254.00,-1002.00,-1002.00,-197.00,366.95
-228.000000,-207.000000,-1002.000000,-211.000000,-600.000000,-600.00,-211.00,-449.60,-228.00,-1002.00,-1002.00,-207.00,350.95
-232.000000,-206.000000,-406.000000,-210.000000,-403.000000,-403.00,-210.00,-291.40,-232.00,-406.00,-406.00,-206.00,103.72
-168.000000,-213.000000,-402.000000,-210.000000,-300.000000,-300.00,-210.00,-258.60,-213.00,-402.00,-402.00,-168.00,93.44
-166.000000,-209.000000,-396.000000,-210.000000,-255.000000,-255.00,-209.00,-247.20,-210.00,-396.00,-396.00,-166.00,88.94
-163.000000,-210.000000,-396.000000,-210.000000,-253.000000,-253.00,-210.00,-246.40,-210.00,-210.00,-396.00,-163.00,89.48
-126.000000,-178.000000,-396.000000,-209.000000,-238.000000,-238.00,-178.00,-229.40,-209.00,-396.00,-396.00,-126.00,101.95
-126.000000,-209.000000,-396.000000,-209.000000,-221.000000,-221.00,-209.00,-232.20,-209.00,-209.00,-396.00,-126.00,99.13
-126.000000,-211.000000,-220.000000,-209.000000,-224.000000,-220.00,-209.00,-198.00,-211.00,-224.00,-224.00,-126.00,40.72
-126.000000,-153.000000,-396.000000,-206.000000,-212.000000,-212.00,-153.00,-218.60,-206.00,-396.00,-396.00,-126.00,105.54
-127.000000,-207.000000,-396.000000,-206.000000,-180.000000,-207.00,-180.00,-223.20,-206.00,-396.00,-396.00,-127.00,101.91
-127.000000,-165.000000,-396.000000,-206.000000,-167.000000,-206.00,-165.00,-212.20,-167.00,-396.00,-396.00,-127.00,106.48
-126.000000,-174.000000,-396.000000,-206.000000,-165.000000,-206.00,-165.00,-213.40,-174.00,-396.00,-396.00,-126.00,105.98
-126.000000,-176.000000,-396.000000,-168.000000,-160.000000,-176.00,-160.00,-205.20,-168.00,-396.00,-396.00,-126.00,108.35
-128.000000,-169.000000,-289.000000,-168.000000,-163.000000,-169.00,-163.00,-183.40,-168.00,-289.00,-289.00,-128.00,61.40
-127.000000,-176.000000,-294.000000,-202.000000,-160.000000,-202.00,-160.00,-191.80,-176.00,-294.00,-294.00,-127.00,63.26
-128.000000,-172.000000,-294.000000,-168.000000,-161.000000,-172.00,-161.00,-184.60,-168.00,-294.00,-294.00,-128.00,63.57
-127.000000,-168.000000,-291.000000,-166.000000,-160.000000,-168.00,-160.00,-182.40,-166.00,-291.00,-291.00,-127.00,62.93
-127.000000,-168.000000,-294.000000,-168.000000,-161.000000,-168.00,-161.00,-183.60,-168.00,-168.00,-294.00,-127.00,64.01
-126.000000,-162.000000,-294.000000,-168.000000,-161.000000,-168.00,-161.00,-182.20,-162.00,-294.00,-294.00,-126.00,64.65
-127.000000,-128.000000,-290.000000,-166.000000,-159.000000,-166.00,-128.00,-174.00,-159.00,-290.00,-290.00,-127.00,67.21
-126.000000,-168.000000,-293.000000,-168.000000,-163.000000,-168.00,-163.00,-183.60,-168.00,-168.00,-293.00,-126.00,63.63
-127.000000,-166.000000,-211.000000,-168.000000,-163.000000,-168.00,-163.00,-167.00,-166.00,-211.00,-211.00,-127.00,29.81
-127.000000,-163.000000,-211.000000,-168.000000,-143.000000,-168.00,-143.00,-162.40,-163.00,-211.00,-211.00,-127.00,31.71
-127.000000,-163.000000,-211.000000,-165.000000,-160.000000,-165.00,-160.00,-165.20,-163.00,-211.00,-211.00,-127.00,29.95
-125.000000,-165.000000,-209.000000,-165.000000,-159.000000,-165.00,-159.00,-164.60,-165.00,-165.00,-209.00,-125.00,29.88
-126.000000,-161.000000,-204.000000,-165.000000,-161.000000,-165.00,-161.00,-163.40,-161.00,-161.00,-204.00,-126.00,27.66
