Exe4-1CCU,Exe2-1CCU,Exe3-1CCU,Exe1-1CCU,Exe0-1CCU,q1,q3,mean,median,mode,min,max,sstdev
1216,1211,941,1138,1000,1000.00,1211.00,1101.20,1138.00,941.00,941.00,1216.00,124.99
-1002.000000,-1002.000000,-1002.000000,-158.000000,-1002.000000,-1002.00,-1002.00,-833.20,-1002.00,-1002.00,-1002.00,-158.00,377.45
-944.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-990.40,-1002.00,-1002.00,-1002.00,-944.00,25.94
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-337.000000,-1002.000000,-142.000000,-1002.000000,-1002.000000,-1002.00,-337.00,-697.00,-1002.00,-1002.00,-1002.00,-142.00,423.29
-337.000000,-1002.000000,-176.000000,-1002.000000,-1002.000000,-1002.00,-337.00,-703.80,-1002.00,-1002.00,-1002.00,-176.00,412.28
-337.000000,-1002.000000,-505.000000,-1002.000000,-1002.000000,-1002.00,-505.00,-769.60,-1002.00,-1002.00,-1002.00,-337.00,323.72
-337.000000,-1002.000000,-574.000000,-1002.000000,-1002.000000,-1002.00,-574.00,-783.40,-1002.00,-1002.00,-1002.00,-337.00,310.84
-793.000000,-1002.000000,-574.000000,-1002.000000,-1002.000000,-1002.00,-793.00,-874.60,-1002.00,-1002.00,-1002.00,-574.00,190.86
-793.000000,-1002.000000,-574.000000,-1002.000000,-1002.000000,-1002.00,-793.00,-874.60,-1002.00,-1002.00,-1002.00,-574.00,190.86
-793.000000,-1002.000000,-574.000000,-255.000000,-1002.000000,-1002.00,-574.00,-725.20,-793.00,-1002.00,-1002.00,-255.00,316.93
-793.000000,-1002.000000,-574.000000,-175.000000,-1002.000000,-1002.00,-574.00,-709.20,-793.00,-1002.00,-1002.00,-175.00,347.18
-793.000000,-1002.000000,-574.000000,-175.000000,-1002.000000,-1002.00,-574.00,-709.20,-793.00,-1002.00,-1002.00,-175.00,347.18
-793.000000,-1002.000000,-551.000000,-174.000000,-1002.000000,-1002.00,-551.00,-704.40,-793.00,-1002.00,-1002.00,-174.00,349.94
-793.000000,-1002.000000,-387.000000,-131.000000,-1002.000000,-1002.00,-387.00,-663.00,-793.00,-1002.00,-1002.00,-131.00,389.21
-789.000000,-813.000000,-547.000000,-131.000000,-1002.000000,-813.00,-547.00,-656.40,-789.00,-1002.00,-1002.00,-131.00,335.25
-1002.000000,-1002.000000,-542.000000,-131.000000,-1002.000000,-1002.00,-542.00,-735.80,-1002.00,-1002.00,-1002.00,-131.00,392.41
-1002.000000,-1002.000000,-309.000000,-131.000000,-1002.000000,-1002.00,-309.00,-689.20,-1002.00,-1002.00,-1002.00,-131.00,432.92
-1002.000000,-1002.000000,-242.000000,-131.000000,-1002.000000,-1002.00,-242.00,-675.80,-1002.00,-1002.00,-1002.00,-131.00,448.39
-1002.000000,-1002.000000,-177.000000,-174.000000,-1002.000000,-1002.00,-177.00,-671.40,-1002.00,-1002.00,-1002.00,-174.00,452.69
-1002.000000,-1002.000000,-177.000000,-175.000000,-1002.000000,-1002.00,-177.00,-671.60,-1002.00,-1002.00,-1002.00,-175.00,452.42
-1002.000000,-1002.000000,-176.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-836.80,-1002.00,-1002.00,-1002.00,-176.00,369.40
-1002.000000,-1002.000000,-171.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-835.80,-1002.00,-1002.00,-1002.00,-171.00,371.63
