nohup: ignoring input
Running Bin:1BCU.ini Execution 0
Running Bin:1BCU.ini Execution 1
Running Bin:1BCU.ini Execution 2
Running Bin:1BCU.ini Execution 3
Running Bin:1BCU.ini Execution 4
Running Bin:2BCU.ini Execution 0
Running Bin:2BCU.ini Execution 1
Running Bin:2BCU.ini Execution 2
Running Bin:2BCU.ini Execution 3
Running Bin:2BCU.ini Execution 4
Running Bin:4BCU.ini Execution 0
Running Bin:4BCU.ini Execution 1
Running Bin:4BCU.ini Execution 2
Running Bin:4BCU.ini Execution 3
Running Bin:4BCU.ini Execution 4
Running Bin:8BCU.ini Execution 0
Running Bin:8BCU.ini Execution 1
Running Bin:8BCU.ini Execution 2
Running Bin:8BCU.ini Execution 3
Running Bin:8BCU.ini Execution 4
Running Con:1CCU.ini Execution 0
Running Con:1CCU.ini Execution 1
Running Con:1CCU.ini Execution 2
Running Con:1CCU.ini Execution 3
Running Con:1CCU.ini Execution 4
Running Con:2CCU.ini Execution 0
Running Con:2CCU.ini Execution 1
Running Con:2CCU.ini Execution 2
Running Con:2CCU.ini Execution 3
Running Con:2CCU.ini Execution 4
Running Con:4CCU.ini Execution 0
Running Con:4CCU.ini Execution 1
Running Con:4CCU.ini Execution 2
Running Con:4CCU.ini Execution 3
Running Con:4CCU.ini Execution 4
Running Con:8CCU.ini Execution 0
Running Con:8CCU.ini Execution 1
Running Con:8CCU.ini Execution 2
Running Con:8CCU.ini Execution 3
Running Con:8CCU.ini Execution 4
