Exe2-ConfThread1,Exe3-ConfThread1,Exe4-ConfThread1,Exe1-ConfThread1,Exe0-ConfThread1,q1,q3,mean,median,mode,min,max,sstdev
215,186,163,182,175,175.00,186.00,184.20,182.00,163.00,163.00,215.00,19.31
-630.000000,-184.000000,-457.000000,-208.000000,-379.000000,-457.00,-208.00,-371.60,-379.00,-630.00,-630.00,-184.00,184.44
-404.000000,-184.000000,-457.000000,-208.000000,-355.000000,-404.00,-208.00,-321.60,-355.00,-457.00,-457.00,-184.00,120.50
-644.000000,-223.000000,-423.000000,-208.000000,-213.000000,-423.00,-213.00,-342.20,-223.00,-644.00,-644.00,-208.00,191.39
-613.000000,-166.000000,-423.000000,-216.000000,-213.000000,-423.00,-213.00,-326.20,-216.00,-613.00,-613.00,-166.00,188.58
-222.000000,-166.000000,-223.000000,-216.000000,-213.000000,-222.00,-213.00,-208.00,-216.00,-223.00,-223.00,-166.00,23.84
-223.000000,-166.000000,-223.000000,-216.000000,-213.000000,-223.00,-213.00,-208.20,-216.00,-223.00,-223.00,-166.00,23.99
-222.000000,-164.000000,-208.000000,-216.000000,-156.000000,-216.00,-164.00,-193.20,-208.00,-222.00,-222.00,-156.00,30.84
-222.000000,-164.000000,-148.000000,-216.000000,-156.000000,-216.00,-156.00,-181.20,-164.00,-222.00,-222.00,-148.00,35.03
-222.000000,-158.000000,-148.000000,-216.000000,-156.000000,-216.00,-156.00,-180.00,-158.00,-222.00,-222.00,-148.00,35.86
-222.000000,-158.000000,-148.000000,-216.000000,-156.000000,-216.00,-156.00,-180.00,-158.00,-222.00,-222.00,-148.00,35.86
-222.000000,-158.000000,-148.000000,-216.000000,-156.000000,-216.00,-156.00,-180.00,-158.00,-222.00,-222.00,-148.00,35.86
-222.000000,-158.000000,-133.000000,-216.000000,-156.000000,-216.00,-156.00,-177.00,-158.00,-222.00,-222.00,-133.00,39.64
-209.000000,-163.000000,-133.000000,-216.000000,-152.000000,-209.00,-152.00,-174.60,-163.00,-216.00,-216.00,-133.00,36.31
-207.000000,-163.000000,-133.000000,-216.000000,-152.000000,-207.00,-152.00,-174.20,-163.00,-216.00,-216.00,-133.00,35.84
-207.000000,-163.000000,-131.000000,-216.000000,-152.000000,-207.00,-152.00,-173.80,-163.00,-216.00,-216.00,-131.00,36.42
-207.000000,-162.000000,-131.000000,-216.000000,-152.000000,-207.00,-152.00,-173.60,-162.00,-216.00,-216.00,-131.00,36.50
-207.000000,-162.000000,-131.000000,-221.000000,-152.000000,-207.00,-152.00,-174.60,-162.00,-221.00,-221.00,-131.00,37.99
-207.000000,-162.000000,-131.000000,-221.000000,-151.000000,-207.00,-151.00,-174.40,-162.00,-221.00,-221.00,-131.00,38.14
-207.000000,-162.000000,-131.000000,-221.000000,-151.000000,-207.00,-151.00,-174.40,-162.00,-221.00,-221.00,-131.00,38.14
-207.000000,-162.000000,-131.000000,-209.000000,-149.000000,-207.00,-149.00,-171.60,-162.00,-209.00,-209.00,-131.00,35.01
-207.000000,-161.000000,-131.000000,-148.000000,-148.000000,-161.00,-148.00,-159.00,-148.00,-148.00,-207.00,-131.00,28.87
-207.000000,-161.000000,-131.000000,-147.000000,-148.000000,-161.00,-147.00,-158.80,-148.00,-207.00,-207.00,-131.00,28.97
-207.000000,-161.000000,-131.000000,-147.000000,-148.000000,-161.00,-147.00,-158.80,-148.00,-207.00,-207.00,-131.00,28.97
-203.000000,-161.000000,-128.000000,-147.000000,-134.000000,-161.00,-134.00,-154.60,-147.00,-203.00,-203.00,-128.00,29.89
-203.000000,-161.000000,-128.000000,-147.000000,-134.000000,-161.00,-134.00,-154.60,-147.00,-203.00,-203.00,-128.00,29.89
-201.000000,-161.000000,-128.000000,-147.000000,-133.000000,-161.00,-133.00,-154.00,-147.00,-201.00,-201.00,-128.00,29.26
-201.000000,-161.000000,-128.000000,-147.000000,-131.000000,-161.00,-131.00,-153.60,-147.00,-201.00,-201.00,-128.00,29.63
-200.000000,-161.000000,-199.000000,-146.000000,-131.000000,-199.00,-146.00,-167.40,-161.00,-200.00,-200.00,-131.00,31.17
-198.000000,-161.000000,-199.000000,-147.000000,-130.000000,-198.00,-147.00,-167.00,-161.00,-199.00,-199.00,-130.00,30.78
-200.000000,-161.000000,-199.000000,-146.000000,-130.000000,-199.00,-146.00,-167.20,-161.00,-200.00,-200.00,-130.00,31.46
-200.000000,-161.000000,-199.000000,-147.000000,-130.000000,-199.00,-147.00,-167.40,-161.00,-200.00,-200.00,-130.00,31.29
-199.000000,-161.000000,-199.000000,-146.000000,-130.000000,-199.00,-146.00,-167.00,-161.00,-199.00,-199.00,-130.00,31.20
-197.000000,-161.000000,-199.000000,-147.000000,-130.000000,-197.00,-147.00,-166.80,-161.00,-199.00,-199.00,-130.00,30.53
-196.000000,-161.000000,-199.000000,-146.000000,-130.000000,-196.00,-146.00,-166.40,-161.00,-199.00,-199.00,-130.00,30.45
-196.000000,-161.000000,-199.000000,-147.000000,-130.000000,-196.00,-147.00,-166.60,-161.00,-199.00,-199.00,-130.00,30.29
-196.000000,-161.000000,-199.000000,-149.000000,-130.000000,-196.00,-149.00,-167.00,-161.00,-199.00,-199.00,-130.00,29.97
-196.000000,-161.000000,-197.000000,-149.000000,-130.000000,-196.00,-149.00,-166.60,-161.00,-197.00,-197.00,-130.00,29.45
-196.000000,-161.000000,-197.000000,-149.000000,-130.000000,-196.00,-149.00,-166.60,-161.00,-197.00,-197.00,-130.00,29.45
