Exe2-ConfThread1,Exe3-ConfThread1,Exe4-ConfThread1,Exe1-ConfThread1,Exe0-ConfThread1,q1,q3,mean,median,mode,min,max,sstdev
267,302,253,246,236,246.00,267.00,260.80,253.00,236.00,236.00,302.00,25.65
-1001.000000,-1001.000000,-1001.000000,-1001.000000,-294.000000,-1001.00,-1001.00,-859.60,-1001.00,-1001.00,-1001.00,-294.00,316.18
-414.000000,-1001.000000,-290.000000,-754.000000,-377.000000,-754.00,-377.00,-567.20,-414.00,-1001.00,-1001.00,-290.00,299.82
-125.000000,-583.000000,-354.000000,-153.000000,-377.000000,-377.00,-153.00,-318.40,-354.00,-583.00,-583.00,-125.00,186.73
-125.000000,-142.000000,-239.000000,-153.000000,-355.000000,-239.00,-142.00,-202.80,-153.00,-355.00,-355.00,-125.00,95.79
-125.000000,-142.000000,-197.000000,-153.000000,-324.000000,-197.00,-142.00,-188.20,-153.00,-324.00,-324.00,-125.00,80.45
-125.000000,-142.000000,-316.000000,-153.000000,-173.000000,-173.00,-142.00,-181.80,-153.00,-316.00,-316.00,-125.00,77.02
-125.000000,-142.000000,-252.000000,-136.000000,-194.000000,-194.00,-136.00,-169.80,-142.00,-252.00,-252.00,-125.00,53.07
-124.000000,-142.000000,-421.000000,-136.000000,-149.000000,-149.00,-136.00,-194.40,-142.00,-421.00,-421.00,-124.00,127.01
-124.000000,-142.000000,-649.000000,-136.000000,-180.000000,-180.00,-136.00,-246.20,-142.00,-649.00,-649.00,-124.00,226.14
-124.000000,-142.000000,-649.000000,-136.000000,-179.000000,-179.00,-136.00,-246.00,-142.00,-649.00,-649.00,-124.00,226.22
-124.000000,-142.000000,-649.000000,-134.000000,-179.000000,-179.00,-134.00,-245.60,-142.00,-649.00,-649.00,-124.00,226.46
-124.000000,-142.000000,-128.000000,-134.000000,-179.000000,-142.00,-128.00,-141.40,-134.00,-179.00,-179.00,-124.00,22.09
-124.000000,-148.000000,-128.000000,-134.000000,-179.000000,-148.00,-128.00,-142.60,-134.00,-179.00,-179.00,-124.00,22.29
-124.000000,-148.000000,-128.000000,-134.000000,-175.000000,-148.00,-128.00,-141.80,-134.00,-175.00,-175.00,-124.00,20.67
-124.000000,-148.000000,-128.000000,-134.000000,-160.000000,-148.00,-128.00,-138.80,-134.00,-160.00,-160.00,-124.00,14.94
-124.000000,-148.000000,-128.000000,-134.000000,-174.000000,-148.00,-128.00,-141.60,-134.00,-174.00,-174.00,-124.00,20.27
-124.000000,-148.000000,-128.000000,-134.000000,-174.000000,-148.00,-128.00,-141.60,-134.00,-174.00,-174.00,-124.00,20.27
-124.000000,-148.000000,-128.000000,-134.000000,-174.000000,-148.00,-128.00,-141.60,-134.00,-174.00,-174.00,-124.00,20.27
-124.000000,-148.000000,-128.000000,-134.000000,-174.000000,-148.00,-128.00,-141.60,-134.00,-174.00,-174.00,-124.00,20.27
-124.000000,-148.000000,-128.000000,-134.000000,-174.000000,-148.00,-128.00,-141.60,-134.00,-174.00,-174.00,-124.00,20.27
-124.000000,-117.000000,-128.000000,-134.000000,-174.000000,-134.00,-124.00,-135.40,-128.00,-174.00,-174.00,-117.00,22.45
-124.000000,-117.000000,-128.000000,-134.000000,-174.000000,-134.00,-124.00,-135.40,-128.00,-174.00,-174.00,-117.00,22.45
-124.000000,-117.000000,-119.000000,-134.000000,-160.000000,-134.00,-119.00,-130.80,-124.00,-160.00,-160.00,-117.00,17.60
-124.000000,-117.000000,-128.000000,-134.000000,-160.000000,-134.00,-124.00,-132.60,-128.00,-160.00,-160.00,-117.00,16.52
-124.000000,-117.000000,-121.000000,-134.000000,-160.000000,-134.00,-121.00,-131.20,-124.00,-160.00,-160.00,-117.00,17.28
-124.000000,-117.000000,-119.000000,-134.000000,-160.000000,-134.00,-119.00,-130.80,-124.00,-160.00,-160.00,-117.00,17.60
-124.000000,-117.000000,-121.000000,-134.000000,-151.000000,-134.00,-121.00,-129.40,-124.00,-151.00,-151.00,-117.00,13.61
-124.000000,-117.000000,-115.000000,-134.000000,-151.000000,-134.00,-117.00,-128.20,-124.00,-151.00,-151.00,-115.00,14.75
-124.000000,-117.000000,-114.000000,-132.000000,-151.000000,-132.00,-117.00,-127.60,-124.00,-151.00,-151.00,-114.00,14.81
-124.000000,-117.000000,-115.000000,-132.000000,-151.000000,-132.00,-117.00,-127.80,-124.00,-151.00,-151.00,-115.00,14.58
-124.000000,-117.000000,-116.000000,-132.000000,-151.000000,-132.00,-117.00,-128.00,-124.00,-151.00,-151.00,-116.00,14.37
-124.000000,-117.000000,-112.000000,-132.000000,-151.000000,-132.00,-117.00,-127.20,-124.00,-151.00,-151.00,-112.00,15.29
-124.000000,-117.000000,-112.000000,-132.000000,-151.000000,-132.00,-117.00,-127.20,-124.00,-151.00,-151.00,-112.00,15.29
-124.000000,-117.000000,-112.000000,-132.000000,-151.000000,-132.00,-117.00,-127.20,-124.00,-151.00,-151.00,-112.00,15.29
-124.000000,-117.000000,-112.000000,-132.000000,-151.000000,-132.00,-117.00,-127.20,-124.00,-151.00,-151.00,-112.00,15.29
-124.000000,-117.000000,-112.000000,-132.000000,-151.000000,-132.00,-117.00,-127.20,-124.00,-151.00,-151.00,-112.00,15.29
